Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
11A - Compact All-Refrigerator - manual defrost,ARU33B1AWW,220,3.3,Yes,66.66666666666667,11A,3.3,220.0,ARU33B1AWW
3 - Freestanding Compact Cooler,ARW14B0ABB,121,1.5,Yes,80.66666666666667,3,1.5,121.0,ARW14B0ABB
3 - Freestanding Compact Cooler,ARW24S1ABB,138,2.3,Yes,60.00000000000001,3,2.3,138.0,ARW24S1ABB
3 - Freestanding Compact Cooler,ARW34S1ABB,143,3.3,Yes,43.333333333333336,3,3.3,143.0,ARW34S1ABB
12 - Compact Refrigerator-Freezer - partial automatic defrost,ATMP031AEB,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ATMP031AEB
12 - Compact Refrigerator-Freezer - partial automatic defrost,ATMP031AES,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ATMP031AES
12 - Compact Refrigerator-Freezer - partial automatic defrost,ATMP031AET,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ATMP031AET
12 - Compact Refrigerator-Freezer - partial automatic defrost,ATMP031AEW,270,3.8,Yes,71.05263157894737,12,3.8,270.0,ATMP031AEW
13A - Compact All-Refrigerators - automatic defrost,AU83ETWBR1RCM,167,8.3,Yes,20.12048192771084,13A,8.3,167.0,AU83ETWBR1RCM
11A - Compact All-Refrigerator - manual defrost,FKAFRM024AEU,213,2.4,Yes,88.75,11A,2.4,213.0,FKAFRM024AEU
12 - Compact Refrigerator-Freezer - partial automatic defrost,FKATMP031AEB,270,3.8,Yes,71.05263157894737,12,3.8,270.0,FKATMP031AEB
12 - Compact Refrigerator-Freezer - partial automatic defrost,FKATMP031AEW,270,3.8,Yes,71.05263157894737,12,3.8,270.0,FKATMP031AEW
