Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
BC-73DJ1NA1/HC1(Q),LMS026M6RVE,254.0,2.5,(13A.) Compact all-refrigerators - automatic defrost,101.6,doe,2.5,254.0,LMS026M6RVE,False
4w5ibic41-01,JF42NXFXDE**,694.0,29.1,(5I-BI.) Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.848797250859107,doe,29.1,694.0,JF42NXFXDE..,False
5w5am61-08,WRV996FDE***,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348,doe,31.5,767.0,WRV996FDE...,False
5w5am61-08,KRMF706ESS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348,doe,31.5,767.0,KRMF706ESS..,False
5w5am61-08,KRMF706EBS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348,doe,31.5,767.0,KRMF706EBS..,False
5w5am61-08,KRMF606ESS**,767.0,31.5,(5A.) Refrigerator-freezer - automatic defrost with bottom-mounted freezer with through-the-door ice service,24.349206349206348,doe,31.5,767.0,KRMF606ESS..,False
4w5iz00-18,MFC2062DEM*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539,doe,24.3,563.0,MFC2062DEM.,False
4w5iz00-18,KBFS20EC*,563.0,24.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,23.16872427983539,doe,24.3,563.0,KBFS20EC.,False
BC/BD-256NA,111.1799####,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258,doe,15.5,218.0,111.1799....,False
BC/BD-256NA,1799#,218.0,15.5,(10.) Chest freezers and all other freezers except compact freezers,14.064516129032258,doe,15.5,218.0,1799.,False
BD-375NA,111.1768####,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953,doe,22.9,268.0,111.1768....,False
BD-375NA,1768#,268.0,22.9,(10.) Chest freezers and all other freezers except compact freezers,11.703056768558953,doe,22.9,268.0,1768.,False
FFRBI1836-36**,SFRBI1836-36**,458.0,24.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.54251012145749,doe,24.7,458.0,SFRBI1836-36..,False
FFRBI1820-36**,ZFRBI1820-36**,539.0,24.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.82186234817814,doe,24.7,539.0,ZFRBI1820-36..,False
FFRBI1820-36**,CFRBI1820-36**,539.0,24.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.82186234817814,doe,24.7,539.0,CFRBI1820-36..,False
