Product Class,Model Number,Annual Energy Use (kWh/yr),Adjusted Volume (ft3),Compact,energy_per_volume,code,adj_volume,annual_energy_use,regexed_model_no
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,FTU171*7,681,29.4,No,23.16326530612245,5A,29.4,681.0,FTU171.7
5A - Refrigerator-freezers - automatic defrost with bottom-mounted freezer with through-the-door ice service,FTU171X7,681,31.5,No,21.61904761904762,5A,31.5,681.0,FTU171X7
3I - Refrigerator-freezer - automatic defrost with op-mounted freezer with automatic icemaker without through-the-door ice,FAB50UXXX,453,21.8,No,20.779816513761467,3I,21.8,453.0,FAB50UXXX
3A-BI - Built-In All-Refrigerators - automatic defrost,VRI7240****,295,12.9,No,22.868217054263564,3A-BI,12.9,295.0,VRI7240....
3A-BI - Built-In All-Refrigerators - automatic defrost,VRI7300****,324,16.4,No,19.75609756097561,3A-BI,16.4,324.0,VRI7300....
3A-BI - Built-In All-Refrigerators - automatic defrost,VRI7360****,353,20.4,No,17.30392156862745,3A-BI,20.4,353.0,VRI7360....
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,RVFFR336SS,566,24.9,No,22.73092369477912,5I-BI,24.9,566.0,RVFFR336SS
3A - All-Refrigerators - automatic defrost,HVUF11SL,249,11.1,No,22.43243243243243,3A,11.1,249.0,HVUF11SL
3A - All-Refrigerators - automatic defrost,HVUF11SLF,249,11.1,No,22.43243243243243,3A,11.1,249.0,HVUF11SLF
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,MDBF18SS,466,23.0,No,20.26086956521739,5,23.0,466.0,MDBF18SS
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF12SS,311,13.9,No,22.374100719424458,3,13.9,311.0,MDTF12SS
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF18SS,362,21.0,No,17.238095238095237,3,21.0,362.0,MDTF18SS
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF18SS*,362,21.1,No,17.156398104265403,3,21.1,362.0,MDTF18SS.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF18SSR*,362,21.1,No,17.156398104265403,3,21.1,362.0,MDTF18SSR.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF18SSRPRO*,362,21.1,No,17.156398104265403,3,21.1,362.0,MDTF18SSRPRO.
3 - Refrigerator-freezers - automatic defrost with top-mounted freezer without an automatic ice maker,MDTF18WHS,362,21.0,No,17.238095238095237,3,21.0,362.0,MDTF18WHS
1A - All-Refrigerators - manual defrost,ERAR88RED,209,8.3,No,25.180722891566262,1A,8.3,209.0,ERAR88RED
1A - All-Refrigerators - manual defrost,ERAR88SVR,209,8.3,No,25.180722891566262,1A,8.3,209.0,ERAR88SVR
1A - All-Refrigerators - manual defrost,ERAR88TIF,209,8.3,No,25.180722891566262,1A,8.3,209.0,ERAR88TIF
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,ERFF111BL,388,13.5,No,28.74074074074074,5,13.5,388.0,ERFF111BL
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,KD-318R,388,13.5,No,28.74074074074074,5,13.5,388.0,KD-318R
5 - Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic ice maker,KD-318RWHL,388,13.5,No,28.74074074074074,5,13.5,388.0,KD-318RWHL
3A-BI - Built-In All-Refrigerators - automatic defrost,BI-36R/S/**-**,370,22.7,No,16.29955947136564,3A-BI,22.7,370.0,BI-36R/S/..-..
5I-BI - Built-In Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,CL3050U**/S/*/*,557,20.1,No,27.71144278606965,5I-BI,20.1,557.0,CL3050U../S/./.
