Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume,source,adj_volume,annual_energy_use,regexed_model_no,exists_in_other_db
TUR-15BD-*-**-C,TUR-15BD-L-OP-C,258.0,3.1,(13A.) Compact all-refrigerators - automatic defrost,83.2258064516129,doe,3.1,258.0,TUR-15BD-L-OP-C,False
TURADA-24-**-A,TURADA-24-RG-A,274.0,5.0,(13A.) Compact all-refrigerators - automatic defrost,54.8,doe,5.0,274.0,TURADA-24-RG-A,False
TUBADA-24-**-A,TUBADA-24-LS-A,274.0,5.0,(13A.) Compact all-refrigerators - automatic defrost,54.8,doe,5.0,274.0,TUBADA-24-LS-A,False
TUR-24-*-SG-C,TUR-24-L-SG-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-L-SG-C,False
TUR-24-*-OG-C,TUR-24-L-OG-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-L-OG-C,False
TUR-24-*-SS-C,TUR-24-L-SS-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-L-SS-C,False
TUR-24-*-OP-C,TUR-24-L-OP-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-L-OP-C,False
TUR-24-D-**-C,TUR-24-D-OP-C,277.0,5.4,(13A.) Compact all-refrigerators - automatic defrost,51.29629629629629,doe,5.4,277.0,TUR-24-D-OP-C,False
TUR-24DD-*-**-C,TUR-24-DD-L-SS-C,279.0,5.6,(13A.) Compact all-refrigerators - automatic defrost,49.82142857142858,doe,5.6,279.0,TUR-24-DD-L-SS-C,False
KBC-88W,HS-121LN(S4NZ),220.0,3.3,(11A.) Compact all-refrigerators - manual defrost,66.66666666666667,doe,3.3,220.0,HS-121LN(S4NZ),False
HS-186CN(NZ),FFCS0522AW,218.0,8.8,(18.) Compact chest freezers,24.77272727272727,doe,8.8,218.0,FFCS0522AW,False
