Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Adjusted_Volume__Cubic_Feet__d,Product_Group_Code_Description_s,energy_per_volume
BCD-606WI,SFRBI1844-36**,560.0,25.0,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.4
BCD-606WI,FFRBI1844-36**,560.0,25.0,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,22.4
BCD-513WI,XFFFD1974-31**,512.0,21.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.037558685446008
BCD-513WI,SFFFD1974-31**,512.0,21.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.037558685446008
BCD-513WI,CFFFD1974-31**,512.0,21.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.037558685446008
BCD-513WI,EFFFD1974-31**,512.0,21.3,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,24.037558685446008
FFRBI1820-36**,ZFRBI1820-36**,539.0,24.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.82186234817814
FFRBI1820-36**,CFRBI1820-36**,539.0,24.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.82186234817814
FFRBI1820-36**,DFRBI1820-36**,539.0,24.7,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,21.82186234817814
FFRBI1836-36**,YFRBI1836-36**,458.0,24.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.54251012145749
FFRBI1836-36**,DFRBI1836-36**,458.0,24.7,(5.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer without an automatic icemaker,18.54251012145749
BCD-456WAEASCC,FFRBI1812-33S,460.0,20.2,(4.) Refrigerator-freezers - automatic defrost with side-mounted freezer without an automatic icemaker,22.772277227722775
