ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Load Configuration,Special Type,Additional Washer Features,Intended Market,Volume (cu. ft.),Height (inches),Width (inches),Depth (inches),Integrated Modified Energy Factor (IMEF),US Federal Standard (IMEF),Annual Energy Use (kWh/yr),Integrated Water Factor (IWF),US Federal Standard (IWF),Annual Water Use (gallons/yr),Drum Capacity for the dryer in a Combination All-in-One Washer-Dryer,Heat Pump Technology for the dryer in a Combination All-in-One Washer-Dryer,Combined Energy Factor (CEF) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Annual Energy Use (kWh/yr) for the dryer in a Combination All-in-One Washer-Dryer,Estimated Energy Test Cycle Time (min) for the dryer in a Combination All-in-One Washer-Dryer,Energy Test Cycle Information for the dryer in a Combination All-in-One Washer-Dryer,Calculated Combined Energy Factor - Max Dryness Setting (lbs/kWh) for the dryer in a Combination All-in-One Washer-Dryer,Additional Dryer Features for the dryer in a Combination All-in-One Washer-Dryer,Connected,Connects Using,Communication Standard Application Layer,Direct on-premises Open-standard Based Interconnection,Paired ENERGY STAR Clothes Dryer Available,Paired ENERGY STAR Clothes Dryer ENERGY STAR Model Identifier,Date Available On Market,Date Certified,Markets,ENERGY STAR Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2311151,Bosch,WAT28400UC,,825225912767,Front Load,,Delayed Start,Residential,2.2,,24.0,,2.22,1.84,84,3.6,4.7,2294,,,,,,,,,No,None,None,No,Yes,,05/01/2015,03/20/2015,"United States, Canada",ES_31649_WAT28400UC_12192014125456_4933282,No
2363886,Bosch,WAW285H1UC,,825225963233,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle,Sanitize Option,Gentle Cycle",Residential,2.2,,23.5,,2.2,1.84,84,3.7,4.7,2379,,,,,,,,,Yes,Wi-Fi,,,Yes,ES_31649_WTW87NH1UC_07082020153043_1234247,10/01/2020,07/31/2020,"United States, Canada",ES_31649_WAW285H1UC_07082020145146_4616052,Yes
2310610,Bosch,WAW285H2UC,,825225937449,Front Load,,"Delayed Start,Hand Wash Cycle,Anti-Wrinkle,Sanitize Option,Gentle Cycle",Residential,2.2,,24.0,,2.22,1.84,84,3.7,4.7,2358,,,,,,,,,Yes,Wi-Fi,,,Yes,"ES_31649_WTG865H3UC_02192019145237_3792688,ES_31649_WTG865H4UC_04242020110353_9266931",09/01/2017,05/01/2017,"United States, Canada",ES_31649_WAW285H2UC_04292017160115_8727838,No
2408401,Bosch,WGA12400**,,825225967231,Front Load,,"Delayed Start,Gentle Cycle",Residential,2.1,,23.5,,2.4,1.84,70,3.7,4.7,2325,,,,,,,,,No,,,,,,03/01/2023,02/21/2023,"United States, Canada",ES_31649_WGA12400**_12072022074533_6359826,No
2393702,BREDA,LUWM71200,,739918,Front Load,,"Delayed Start,Gentle Cycle",Residential,1.9,,21.3,,,1.84,100,3.5,4.7,1972,,,,,,,,,No,,,,No,,04/01/2022,03/08/2022,"United States, Canada",ES_1147102_LUWM71200_03102022122138_80097243,No
2393701,BREDA,LUWM81400,,739919,Front Load,,"Delayed Start,Gentle Cycle",Residential,2.3,,23.4,,,1.84,100,3.5,4.7,2375,,,,,,,,,No,,,,No,,03/01/2022,03/08/2022,"United States, Canada",ES_1147102_LUWM81400_03102022122138_80097243,No
2393700,BREDA,LUWM91400,,739920,Front Load,,"Delayed Start,Gentle Cycle",Residential,2.3,,23.4,,,1.84,100,3.5,4.7,2375,,,,,,,,,No,,,,Yes,ES_1147102_LUDH92700_01262022121919_80097240,03/01/2022,03/08/2022,"United States, Canada",ES_1147102_LUWM91400_03102022122138_80097243,No
2448374,Criterion,CFW45N1AW,,,Front Load,,None,Residential,4.5,,27.0,,2.76,1.84,112,3.2,4.7,4257,,,,,,,,,No,,,,,,03/22/2023,03/28/2023,"United States, Canada",ES_1062598_CFW45N1AW_032820230635626_5931528,No
2309934,Crosley,CFWH4084G**,,883049444338,Front Load,,Clean Washer,Residential,4.2,,27.0,,2.92,1.84,85,3.2,4.7,3936,,,,,,,,,No,,,,No,,02/01/2017,02/02/2018,"United States, Canada",ES_92264_CFWH4084G**_01282017165803_2683820,No
2325258,Crosley,YFW450S*M***,",YFW450SPMDG,; ,YFW450SSMWW,",084691841524,Front Load,,"Gentle Cycle,Delayed Start,Sanitize Option,Hand Wash Cycle",Residential,4.5,,27.0,,2.76,1.84,116,3.2,4.7,4220,,,,,,,,,No,,,,,,09/03/2018,08/22/2018,United States,ES_92264_YFW450S*M***_09032018174229_6549281,No
2350855,Crosley,YTW4514*N***,",YTW4514PNDG,Color: Diamond Gray; ,YTW4514SNWS,Color: White",084691853435;084691853442,Front Load,,"Delayed Start,Sanitize Option,Gentle Cycle",Residential,4.5,,26.9,,2.06,1.84,150,4.3,4.7,5683,,,,,,,,,No,,,,Yes,ES_92264_YTD74E2*N***_011720231848244_5006773,12/04/2019,12/02/2019,United States,ES_92264_YTW4514*N***_12052019143043_6243661,No
2399404,Danby,DWM022D1WDB,,067638000635,Front Load,,"Steam Cycle,Hand Wash Cycle,Sanitize Option,Perm Press
Bulky
Wool
Sports Wear
Drum Clean",Residential,2.2,33.25,23.5,23.50,2.07,1.84,110,4.2,4.7,2713,,,,,,,,,No,,,,Yes,ES_31682_DDY040D1WDB_080120222225291_5981092,10/01/2022,08/01/2022,"United States, Canada",ES_31682_DWM022D1WDB_072520222225291_4980099,No
2309144,Electrolux,EFLS527****,,12505387265;12505387272,Front Load,,None,Residential,4.3,,27.0,,2.92,1.84,75,3.2,4.7,4059,,,,,,,,,No,,,,Yes,ES_1021080_EFME527****_02222018171513_9713937,01/19/2018,01/02/2018,"United States, Canada",ES_1021080_EFLS527****_01152018115400_70163739,Yes
2310162,Electrolux,EFLS627****,,012505387289;12505387289;12505387296,Front Load,,None,Residential,4.4,,27.0,,2.92,1.84,85,3.2,4.7,4154,,,,,,,,,No,,,,Yes,ES_1021080_EFME627****_02222018171531_9731920,01/19/2018,02/08/2016,"United States, Canada",ES_1021080_EFLS627****_02072018120848_70172556,Yes
2310004,Electrolux,EFLW317****,,012505386947;12505386947,Front Load,,None,Residential,4.3,,27.0,,2.76,1.84,60,3.2,4.7,4059,,,,,,,,,No,,,,Yes,ES_1021080_EFDE317****_12162016171416_8456738,01/29/2018,01/26/2018,"United States, Canada",ES_1021080_EFLW317****_02052018061855_70167392,No
