Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG9,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG8,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (240V) (less than 4.4 ft3 capacity)",L18MAB1AC4,WET4024H**,3.4,240.0,,Yes,3.27,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG10,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A17E2AI1AG6,WED7500G**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG7,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG10,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L14CBL1AJ7,MGDB855D**,8.8,,20187.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L13QAG1AG7,WED49STB**,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14DCG1AG8,6613*41*,7.0,240.0,,Yes,3.73,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QCG1AG7,6513*41+,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG20,WED4810E**,7.0,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QBG1AG9,MEDC465H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG10,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Roper,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16RGF1AG12,RED4516F**,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG2,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG2,MED6230H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L13QAG1AJ4,WGD49STB**,7.0,,22305.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG11,WED4950H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG3,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG3,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI1AG3,MED6230RH**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ6,WGD4850H**,7.0,,22301.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE6,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L03NAA1AA5,LDR3822P**,3.3,120.0,,Yes,3.61,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15RCF1AG14,6012*51+,6.5,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L15QAG1AG22,WED4915E**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L18QAG1AG12,WED4850H**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG4,WED5100H**,7.4,240.0,,Yes,3.73,No,No
Maytag,Vented Gas,L18QBG1AJ8,MGDC465H**,7.0,,22074.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18BAI1AI2,WGD6120H**,7.4,,20238.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L16QAG1AG8,WED4916F**,7.0,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI1AG5,WED6120H**,7.4,240.0,,Yes,3.73,No,No
Whirlpool,Vented Gas,L18QAG1AJ7,WGD4950H**,7.0,,22412.0,Yes,3.3,No,No
Maytag,Vented Gas,A18BBI1AI2,MGD6230RH**,7.4,,20276.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18KAC1AE7,WET4027H**,5.9,240.0,,Yes,3.73,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",L14QAG1AG13,WED5000D**,7.0,240.0,,Yes,3.73,No,No
Kenmore,Vented Gas,L15RCF1AJ6,7012*51+,6.5,,22328.0,Yes,3.3,No,No
Whirlpool,Vented Gas,A18KAC1AH3,WGT4027H**,5.9,,15462.0,Yes,3.3,No,No
Whirlpool,Vented Gas,L14QAG1AJ9,WGD5000D**,7.0,,22312.0,Yes,3.3,No,No
Whirlpool,"Vented Electric, Compact (120V) (less than 4.4 ft3 capacity)",L03NAA1AA6,LDR3822P**,3.3,120.0,,Yes,3.61,No,No
