Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",KCM18A30A,KEM18A34A,20000.0,1920.0,10.3,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",KCS16A30A,KCS16A30A,15700.0,1450.0,10.7,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KCS12A30A,KCS12A30A,12000.0,990.0,12.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KCS12A10A,KCS12A10A,12000.0,1000.0,12.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KCS10A10A,KCS10A10A,10000.0,830.0,12.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KCQ10A10B,KCQ10A10B,9700.0,880.0,10.9,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KCQ08A10A,KCQ08A10A,8000.0,660.0,12.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",KCQ06A10A,KCQ06A10A,6000.0,490.0,12.1,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",KCM21A30A,KCM21A30A,21500.0,2070.0,10.3,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",KCL36A30A,KCL36A30A,35000.0,3850.0,9.0,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
Friedrich,"(5b) Without reverse cycle, with louvered sides, and 28,000 Btu/h or more",KCL28A30A,KCL28A30A,28000.0,2800.0,9.9,No,No,https://www.friedrich.com/professional/support/product-resources?type=Energy+Guide&all=true
