ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria,model_number_modified
2374482,Black + Decker,BD08WT6,,819813019259,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,500,No,,,,,,,,,01/15/2021,01/28/2021,"United States, Canada",ES_1126481_BD08WT6_02282021123418_80067469,No,BD08WT6
2374483,Black + Decker,BD10WT6,,819813019266,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,625,No,,,,,,,,,01/15/2021,01/28/2021,"United States, Canada",ES_1126481_BD10WT6_02282021123418_80067469,No,BD10WT6
2374484,Black + Decker,BD12WT6,,819813019273,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12.0,10,750,No,,,,,,,,,01/15/2021,01/28/2021,"United States, Canada",ES_1126481_BD12WT6_02282021123418_80067469,No,BD12WT6
2448295,Crosley,CATS10D1,,00850029962823,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.4,5,658,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/24/2023,"United States, Canada",ES_92264_CATS10D1_03232023151153_6704675,No,CATS10D1
2448293,Crosley,CATS12D1,,00850029962830,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.4,5,790,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/24/2023,"United States, Canada",ES_92264_CATS12D1_03232023150340_9231836,No,CATS12D1
2448331,Crosley,CATS14A1,,00850029962632,,,,,14000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.3,6,929,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/27/2023,"United States, Canada",ES_92264_CATS14A1_03232023151425_2081262,No,CATS14A1
2448335,Crosley,CATS18C2,,00850029962847,,,,,18000,,Window,,,No,None,"4. Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),11.3,6,1195,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/27/2023,"United States, Canada",ES_92264_CATS18C2_03232023151637_3856927,No,CATS18C2
2448334,Crosley,CATS24C2,,00850029962854,,,,,24000,,Window,,,No,None,"5a. Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),9.8,4,1837,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/27/2023,"United States, Canada",ES_92264_CATS24C2_03232023151833_6728479,No,CATS24C2
2448332,Crosley,CTTE12A1,,00850029962663,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),10.0,5,900,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/27/2023,"United States, Canada",ES_92264_CTTE12A1_03232023134804_2975427,No,CTTE12A1
2448333,Crosley,CTTE12A2,,00850029962670,,,,,12000,,Through the Wall,,,No,None,"8b. Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",No,No,R-32,R-32 (GWP:675 | Lower GWP),10.0,5,900,Yes,Wi-Fi,A - Built-in,Smart Energy Profile (SEP) 2.x,,,,,Yes,03/11/2023,03/27/2023,"United States, Canada",ES_92264_CTTE12A2_03232023135230_2330896,No,CTTE12A2
