Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__cubic_feet__d,Voltage__volts___For_Electric_Models_Only__d,Hourly_BTU_Rating_of_the_Burner__For_Gas_Models_Only__d,Does_the_Dryer_Have_Automatic_Termination_Controls__s,Combined_Energy_Factor__pounds_per_kilowatt_hour__d,Cycle_Settings_for_Energy_Test_Cycle___Program_Cycle_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Temperature_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Dryness_Setting_s,Cycle_Settings_for_Energy_Test_Cycle___Other_Optional_Cycle_Settings_in_the_As_Shipped_Position__If_Applicable__s,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A22JAI8AG0,WED5605M**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,Vented Gas,A18BBI7AI2,MGD7230H**,7.4,,20362.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI1,MGD6630H**,7.3,,20224.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI2,MGD8630H**,7.3,,20209.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A22JAI8AG0,WED6605M**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A22JAI8AI0,WGD5605M**,7.4,,20214.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,Vented Gas,A18JBH7AI4,MGD6630H**,7.3,,20194.0,Yes,3.48,Normal,High,Normal,,No,No
Amana,Vented Gas,A18JDI7AI0,NGD5800H**,7.4,,20151.0,Yes,3.48,Normal,High,Normal,Eco Dry,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG8,WED8000D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG9,WED8620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG11,WED8000D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG4,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CAL2AG12,WED8000D**,8.8,240.0,,Yes,3.93,EcoBoost/Normal,High,Mid-point,EcoBoost,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A14CCL5AG5,6913*41*,8.8,240.0,,Yes,3.93,Energy Saver / Normal,High,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JAI8AG10,WED5620H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG10,MED8630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG10,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG5,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG4,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG6,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB0,WHD862CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG4,WED8127L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,Vented Gas,A18CAL8AI0,WGD8120H**,8.8,,20474.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG5,WED8127L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Kenmore,Vented Gas,A16VCN5AI2,7163*61,9.2,,20309.0,Yes,3.48,Normal / Energy Saver,High,Normal,Energy Saver,No,No
Amana,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JDI7AG0,NED5800H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,Eco Dry,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG5,MED3500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG5,MED5500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG5,MED8200F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG6,MED8200F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG8,MED3500F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16ABI3BG8,MED8200F**,7.4,240.0,,Yes,3.93,Energy Saver / Normal,Medium,Normal,Energy Saver,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16XAI4BG6,WED7590F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H18JAI8AB3,WHD862CH**,7.4,240.0,,Yes,5.2,Regular + Normal,High,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED75HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED90HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG8,WED8540F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG9,WED7505F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG9,WED85HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,Vented Gas,A18JAI8AI7,WGD5620H**,7.4,,20183.0,Yes,3.48,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG10,WED92HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Maytag,Vented Gas,A18JBH7AI6,MGD6630H**,7.3,,20219.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG11,WED90HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG11,WED8540F**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A16AAI4BG11,WED85HEF**,7.4,240.0,,Yes,3.93,Eco/Normal,Medium,Normal,Eco,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",H16AAI4BB3,WED9290F**,7.4,240.0,,Yes,4.5,Eco/Normal,Medium,Normal,Eco,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX6700*,7.4,240.0,,Yes,3.94,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",WKHC202H*A,WKHC202H*A,7.2,240.0,,Yes,8.0,Normal,None,* Dry Level 3 (.),,No,No
LG,Vented Gas,DLGX8901*,DLGX8981*,9.0,,20000.0,Yes,3.49,Normal,* Temp. Level 4 (.),* Dry Level 3 (.),,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX8900*,DLEX8980*,9.0,240.0,,Yes,3.94,Normal,* Temp. Level 4 (.),* Dry Level 3 (.),,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX8900*,DLEX8900*,9.0,240.0,,Yes,3.94,Normal,* Temp. Level 4 (.),* Dry Level 3 (.),,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,6145#,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,DLGX3901*,7177#,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,DLGX3901*,9156#,7.4,,20000.0,Yes,3.48,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,8156#,7.4,240.0,,Yes,3.93,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3700*,8146#,7.4,240.0,,Yes,3.93,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",6143#,6143#,7.3,240.0,,Yes,3.93,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,9178#,9178#,7.4,,20000.0,Yes,3.48,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX7600*E,6155#,7.3,240.0,,Yes,3.94,Normal,Medium,Medium,,No,No
Kenmore,Vented Gas,9158####,9158#,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
Kenmore,"Vented Electric, Standard (4.4 ft3 or greater capacity)",8158####,8158#,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
Kenmore,Vented Gas,7146####,7146#,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG3501*,WKG101H*A,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),* Temp. Level 3 (.),,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,WKE100H*A,7.4,240.0,,Yes,3.94,Normal,. * Temp. Level 4 (.),* Temp. Level 3 (.),,No,No
LG,Vented Gas,DLG7101*,DLG7001*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLE7000*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG3501*,DLG3401*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX3901*,WKGX201H*A,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),* Temp. Level 3 (.),,No,No
LG,Vented Gas,DLG3501*,DLG3601*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG7101*,DLGX7881*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLE3400*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7100*,DLEX7800*E,7.3,240.0,,Yes,3.94,Normal,Mid. High,Normal,,No,No
LG,Vented Gas,DLG7101*,DLGX7901*E,7.3,,20000.0,Yes,3.49,Normal,Mid. High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,DLE3090*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLE7300*E,7.3,240.0,,Yes,3.94,Normal,Mid. High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE3500*,DLE3500*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG7101*,DLG7101*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLE7200*E,DLE7050*,7.3,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4370*,DLEX5005*,7.4,240.0,,Yes,3.94,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLE3180*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLG7051*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLHX4372*,DLHX4372*,7.3,240.0,,Yes,4.3,Cotton/ Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLG7201*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLGX7601*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX7601*E,DLGX7601*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX5001*,DLGX5001*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLHX4072*,DLHX4072*,7.3,240.0,,Yes,4.3,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLGY1702*E,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLGX4271*,DLG1502*E,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEX5780*E,7.3,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal dry,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEX5680*E,7.3,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal dry,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX4270*,DLEX3370*,7.4,240.0,,Yes,3.94,Cotton/Normal,Medium,Normal,,No,No
Electrolux,Vented Gas,EFMG617****,ELFG7537***,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",ELFE7637***,ELFE7637***,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,,No,No
Frigidaire,Vented Gas,EFDG317****,FDGX21E4EW,8.0,,20000.0,Yes,3.48,Normal,Normal,Normal,Eco,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",EFME617****,EFME427****,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,Eco,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",EFME617****,EFME627****,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,Eco,No,No
Electrolux,"Vented Electric, Standard (4.4 ft3 or greater capacity)",EFME617****,EFDE317****,8.0,240.0,,Yes,3.93,Normal,Normal,Normal,Eco,No,No
Hamilton Beach,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",VTD113CT300,HBFDR3206,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
Midea,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH200-V012/A01HS-US,MLE45N3BWW,7.5,240.0,,Yes,3.73,Normal,Medium,Normal Dry,,No,No
Danby,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DDY040D2WDB,DDY040D2WDB,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
Criterion,Vented Gas,MDH210-VG022/B01EQHS-US,CFDG80N1AW,8.0,,20000.0,Yes,3.48,Normal,Medium,Normal Dry +Eco Dry,,No,No
Midea,Vented Gas,MDH210-VG022/B01EQHS-US,MH04GD80/W-PR,8.1,,19815.0,Yes,3.3,Normal,Medium,Normal dry,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A22JAI8AG1,WED5605M**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Maytag,Vented Gas,A18JBH7AI7,MGD5630H**,7.3,,20167.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI7,MGD6630H**,7.3,,20167.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18JBH7AI7,MGD8630H**,7.3,,20167.0,Yes,3.48,Normal,High,Normal,,No,No
Maytag,Vented Gas,A18BBI7AI5,MGD7230H**,7.4,,20105.0,Yes,3.48,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG9,WED8127L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG9,WED7120H**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Criterion,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDH210-V022/B01EQHS-US,CFDE80N1AW,8.0,240.0,,Yes,3.93,Normal,Medium,Normal Dry,,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE54CG7155*,DVE54CG7155*,7.4,240.0,,Yes,3.93,Normal,Medium (Unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE54CG755**,DVE54CG755**,7.4,240.0,,Yes,3.93,Normal,Medium (Unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55CG75***,DVE55CG75***,7.4,240.0,,Yes,3.93,Normal,Medium (Unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE50A88***,DVE50A88***,7.5,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE60A99***,DVE60A99***,7.5,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),Normal,Eco dry,No,No
Samsung,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DVE55A73***,DVE55A73***,7.4,240.0,,Yes,3.93,Normal cycle,Medium (unselectable),Normal,Eco dry,No,No
GE Profile,"Ventless Electric, Combination Washer-Dryer",H48E_6_V,PFQ97HS*V***,4.8,120.0,,Yes,6.0,Normal Dry (Sensor Dry Only),N/A,Sensor Dry,Eco Dry is default off for the Normal Dry (Sensor Dry Only) cycle,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_NB+1,YTD74E2*N***,7.4,240.0,,Yes,3.93,Cottons,High,Dry,eDry is default ON for Cottons,No,No
Breda,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",LUDH92700,739855,4.2,240.0,,Yes,3.0,Cotton Standard,NA,Medium,By annual report date,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE8,ADE6H***178T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE7,ADEE9***178T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE6,ZDEE9***178C***,6.9,240.0,,Yes,3.73,Regular,Medium,n/a,,No,No
Speed Queen,Vented Gas,RG8,ADG6H***118T***,6.9,,22500.0,Yes,3.48,Regular,n/a,Near Dry,,No,No
Huebsch,Vented Gas,RG8,ZDG6H***118T***,6.9,,22500.0,Yes,3.48,Regular,n/a,Near Dry,,No,No
Speed Queen,Vented Gas,RG7,ADGE9***118T***,6.9,,22500.0,Yes,3.48,Regular,Medium,Near Dry,,No,No
Speed Queen,Vented Gas,RG7,ATGE9***118***,6.9,,22500.0,Yes,3.48,Regular,Medium,Near Dry,,No,No
Magic Chef,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",MCSDRY24W1,MCSDRY24W1,4.0,240.0,,Yes,2.68,Normal,High,Regular,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18JBH7AG14,MED6630H**,7.3,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Maytag,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BBI7AG9,MED7230H**,7.4,240.0,,Yes,3.93,Normal,High,Normal,,No,No
Whirlpool,"Vented Electric, Standard (4.4 ft3 or greater capacity)",A18BAI8AG8,WED8127L**,7.4,240.0,,Yes,3.93,Regular + Normal,High,Normal,EcoBoost,No,No
Blomberg,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DHP24400W,DHP24400W,4.1,240.0,,Yes,5.7,Normal Regular Dry,No,No,No,No,No
Beko,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",HPD24412W,HPD24412W,4.1,240.0,,Yes,5.7,Normal Regular Dry,No,No,No,No,No
ELEMENT,"Vented Electric, Standard (4.4 ft3 or greater capacity)",MDV200-V042/A01HS-US,ETD7527EBW,7.5,240.0,,Yes,3.93,Normal,Medium,Normal Dry,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,WKEX300H*A,7.4,240.0,,Yes,3.94,Normal,Medium High,Normal,,No,No
LG,Vented Gas,DLGX3901*,WKGX301H*A,7.4,,20000.0,Yes,3.49,Normal,Medium High,Normal,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,SWWE50*3,7.4,240.0,,Yes,3.94,Normal,Medium High,Normal,,No,No
Asko,"Vented Electric, Standard (4.4 ft3 or greater capacity)",T411.VD.T.U,T411.VD.T.U,4.9,240.0,,Yes,3.8,Auto normal,NA,Medium,,No,No
Asko,"Vented Electric, Standard (4.4 ft3 or greater capacity)",T611.VU.W.U,T611.VU.W.U,4.9,240.0,,Yes,3.8,Auto normal,NA,Medium,,No,No
Fisher&Paykel,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",DE4024P2,DE4024P2,4.1,240.0,,Yes,2.68,Cotton,High,Dry/Extra Dry,,No,No
LG,"Vented Electric, Standard (4.4 ft3 or greater capacity)",DLEX3900*,DLEX5500*,7.4,240.0,,Yes,3.94,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,Vented Gas,DLGX3901*,DLGX5501*,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,Vented Gas,DLGX3901*,DLGX6501*,7.4,,20000.0,Yes,3.49,Normal,. * Temp. Level 4 (.),Normal,,No,No
LG,Vented Gas,DLGX3901*,DLG3471*,7.4,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
LG,Vented Gas,DLG7101*,DLG6101*,7.3,,20000.0,Yes,3.49,Normal,Medium,Normal,,No,No
Huebsch,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE7,ZDEE9***177T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Speed Queen,"Vented Electric, Standard (4.4 ft3 or greater capacity)",RE7,ADEE9***177T***,6.9,240.0,,Yes,3.93,Regular,Medium,Near Dry,,No,No
Speed Queen,Vented Gas,RG7,ADGE9***117T***,6.9,,22500.0,Yes,3.48,Regular,Medium,Near Dry,,No,No
Huebsch,Vented Gas,RG7,ZDGE9***117C***,6.9,,22500.0,Yes,3.48,Regular,Medium,Near Dry,,No,No
Crosley,Vented Gas,M74G_4_NB,YTD74G2*N***,7.4,,22000.0,Yes,3.48,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
Crosley,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_NB+,YTD74E2*N***,7.4,240.0,,Yes,3.93,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
GE Profile,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_T,PTD70EB*T***,7.4,240.0,,Yes,3.93,Normal Cottons,Hot,Dry,ecoDry is default ON for the Normal Cottons,No,No
GE,Vented Gas,M74G_4_R,PTD60GB*R***,7.4,,22000.0,Yes,3.48,Normal Cottons,Hot,Dry,ecoDry is default ON for Normal Cottons,No,No
GE,Vented Gas,M60G_4_N,GUD27GE*N***,6.0,,18000.0,Yes,3.48,Cottons Medium Dry,N/A,Medium Dry,eDry is default on for the Cottons cycle,No,No
GE,Vented Gas,M74G_4_NA,GTD84GC*N***,7.4,,22000.0,Yes,3.48,Cottons Normal,Low,Dry,ecoDry is default ON for Cottons Normal,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",M74E_1_NA,GTD84EC*N***,7.4,240.0,,Yes,3.93,Cottons Normal,Low,Dry,ecoDry is default ON for Cottons Normal,No,No
GE,Vented Gas,M74G_4_N,GTD72GB*N***,7.4,,22000.0,Yes,3.48,Cottons Normal,Low,Dry,ecoDry is default ON for Cottons Normal,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",GTD65EBSJ0WS,GTD65EB*L***,7.4,240.0,,Yes,3.93,Cottons,Low,Dry,eDry is default ON for Cottons,No,No
GE,"Vented Electric, Standard (4.4 ft3 or greater capacity)",G78E_1_NB,GFV55ES*N***,7.8,240.0,,Yes,3.93,Cottons,Low,Dry,ecoDry is default ON for Cottons,No,No
GE,"Ventless Electric, Compact (240V) (less than 4.4 ft3 capacity)",H41E_5_M,GFT14ES*M***,4.1,240.0,,Yes,2.68,Cottons,High,Dry,eDry is default ON for Cottons,No,No
GE Profile,Vented Gas,G78G_4_T1,PFD95GS*T***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_T1,GFD65GS*N***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE Profile,Vented Gas,G78G_4_T,PFD95GS*T***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
GE,Vented Gas,G78G_4_T,GFD85GS*N***,7.8,,16000.0,Yes,3.48,Cottons,High,Dry,ecoDry is default ON for the Cottons cycle,No,No
