Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Total_Adjusted_Volume__Cubic_Feet__d,Annual_Energy_Use__Kilowatt_Hours_Year__d,Total_Refrigerated_Volume__ft3__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
SetPower,(11A.) Compact all-refrigerators - manual defrost,RV45S,RV45S,1.6,130.0,1.6,No,No,https://cdn.shopify.com/s/files/1/0384/5554/1900/files/RV45S_07549162-efae-445c-b496-6d0ea96e4def.jpg?v=1658397924
SetPower,(11A.) Compact all-refrigerators - manual defrost,RV60D,RV60D,2.0,187.0,2.0,No,No,https://cdn.shopify.com/s/files/1/0384/5554/1900/files/RV60D_a0cccd72-01a9-431c-9edb-0cd896c28aa9.jpg?v=1658397924
SetPower,(11A.) Compact all-refrigerators - manual defrost,AJ50G,AJ50G,1.8,219.0,1.8,No,No,https://cdn.shopify.com/s/files/1/0384/5554/1900/files/AJ50G.jpg?v=1658397924
NewAge,(13A.) Compact all-refrigerators - automatic defrost,93003,93003,5.1,272.0,5.1,No,No,By annual report date
COSMO,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-630WP2BF1Z21/HC1(E),COS-FDR223GWSS,27.7,590.0,22.4,No,No,https://cosmoappliances.com/wp-content/uploads/2022/09/COS-FDR223GWSS-Energy-Guide-Label.pdf
FRIGIDAIRE,(18.) Compact chest freezers,BD-200YC,EFRF7003-6COM,12.3,250.0,7.0,No,No,By annual report date
Midea,(13A.) Compact all-refrigerators - automatic defrost,HS-121LN(S5NZ),MRM33S4ASLC,3.3,220.0,3.3,No,No,https://we.tl/t-cL2MAbc5Ec
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESE-C,25.0,539.0,20.3,No,No,By annual report date
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESSE-C,25.0,539.0,20.3,No,No,By annual report date
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESBE,25.0,539.0,20.3,No,No,By annual report date
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESE,25.0,539.0,20.3,No,No,By annual report date
VITARA,(5I.) Refrigerator-freezers - automatic defrost with bottom-mounted freezer with an automatic icemaker without through-the-door ice service,BCD-595WI,VFFR2101ESSE,25.0,539.0,20.3,No,No,By annual report date
MAYTAG,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9g60-25,MZF34X16D*,27.6,466.0,15.7,No,No,https://www.whirlpool.com/services/manuals.html
WHIRLPOOL,(9.) Upright freezers with automatic defrost without an automatic icemaker,4w9g60-25,WZF34X16D*,27.6,466.0,15.7,No,No,https://www.whirlpool.com/services/manuals.html
KENMORE,(7.) Refrigerator-freezers - automatic defrost with side-mounted freezer with through-the-door ice service,7w7P41-21,5004*71*,31.5,702.0,24.6,No,No,https://www.kenmore.com/energyguide/
