Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Capacity__Cubic_Feet__d,Integrated_Modified_Energy_Factor__cubic_feet_per_kilowatt_hour_per_cycle__d,Integrated_Water_Factor__gallons_per_cycle_per_cubic_foot__d,Corrected_Remaining_Moisture_Content_____d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zCG50(3B),3165*20*,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals,3165.20.
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB943(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB942(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB843(3B),MHW5630H**,4.5,2.92,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB840(3B),MHW5630H**,4.5,2.92,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE54(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA860(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG52(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16bAk32(3B),WFW3090G**,2.0,2.38,3.7,28.9,No,No,http://www.whirlpool.com/manuals,WFW3090G..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16bAk31(3B),WFW3090G**,2.0,2.38,3.7,28.9,No,No,http://www.whirlpool.com/manuals,WFW3090G..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA858(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCM513(3B),2613*41+,4.8,2.06,4.3,36.0,No,No,http://www.whirlpool.com/manuals,2613.41+
Kenmore,"Top-loading, standard (1.6 ft3 or greater capacity)",V14CCK57(3B),2813*41+,5.3,2.06,4.3,36.3,No,No,http://www.whirlpool.com/manuals,2813.41+
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB946(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG52(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA861(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe51(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA859(3B),WFW6620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW6620H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE56(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBG53(3B),MVW7232H**,5.3,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7232H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA748(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA862(3B),WFW5620H**,4.5,2.76,3.2,27.4,No,No,http://www.whirlpool.com/manuals,WFW5620H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zAG53(3B),WTW7120H**,5.3,2.06,4.3,34.3,No,No,http://www.whirlpool.com/manuals,WTW7120H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe52(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB947(3B),MHW6630H**,4.8,2.92,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vA750(3B),WFW560CH**,4.3,2.76,3.2,27.8,No,No,http://www.whirlpool.com/manuals,WFW560CH..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V17EBB52(3B),MVWB965H**,6.0,2.06,4.3,30.8,No,No,http://www.whirlpool.com/manuals,MVWB965H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB851(3B),MHW5630H**,4.5,2.76,3.2,27.5,No,No,http://www.whirlpool.com/manuals,MHW5630H..
Maytag,"Front-loading, standard (1.6 ft3 or greater capacity)",H18vB948(3B),MHW6630H**,4.8,2.76,3.2,27.1,No,No,http://www.whirlpool.com/manuals,MHW6630H..
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V21zAe50(3B),WTW8127L**,5.2,2.06,4.3,34.1,No,No,http://www.whirlpool.com/manuals,WTW8127L..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ55(3B),WFW8540F*,4.5,2.92,3.2,29.5,No,No,http://www.whirlpool.com/manuals,WFW8540F.
Whirlpool,"Top-loading, standard (1.6 ft3 or greater capacity)",V22aAf50(3B),WTW500CM**,5.3,2.06,4.3,34.0,No,No,http://www.whirlpool.com/manuals,WTW500CM..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H22gA850(3B),WFW5605M**,4.5,2.76,3.2,28.7,No,No,http://www.whirlpool.com/manuals,WFW5605M..
Maytag,"Top-loading, standard (1.6 ft3 or greater capacity)",V19zBE57(3B),MVW7230H**,5.2,2.06,4.3,33.9,No,No,http://www.whirlpool.com/manuals,MVW7230H..
Whirlpool,"Front-loading, standard (1.6 ft3 or greater capacity)",H16NAZ53(3B),WFW8540F*,4.5,2.92,3.2,29.5,No,No,http://www.whirlpool.com/manuals,WFW8540F.
