Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Amana,Standard size dishwasher,WDP560HAM**,ADB1500AM**,270.0,3.5,12.0,No,No,https://www.amana.com/kitchen/dishwashers.html,ADB1500AM..
Ikea,Standard size dishwasher,IDT930SAG**,IDT930SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IDT930SAG..
Ikea,Standard size dishwasher,IDT930SAG**-01,IDT870SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IDT870SAG..
Ikea,Standard size dishwasher,IDT930SAG**-01,IDT930SAG**,270.0,3.5,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IDT930SAG..
Ikea,Standard size dishwasher,IUD7555D**-01,IUD7555D**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IUD7555D..
Ikea,Standard size dishwasher,IUD7555D**-02,IDT830SAG**,260.0,3.0,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IDT830SAG..
Ikea,Standard size dishwasher,WDF520PAD**-09,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IUD7070D..
Ikea,Standard size dishwasher,WDF520PAD**-10,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IUD7070D..
Ikea,Standard size dishwasher,WDF520PAD**-11,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IUD7070D..
Ikea,Standard size dishwasher,WDF520PAD**-12,IUD7070D**,260.0,3.3,12.0,No,No,https://www.ikea.com/us/en/cat/dishwashers-20825/,IUD7070D..
Jenn-Air,Standard size dishwasher,JDB9000CW**-06,JDB9000CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9000CW..
Jenn-Air,Standard size dishwasher,JDB9000CW**-06,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9200CW..
Jenn-Air,Standard size dishwasher,JDB9000CW**-07,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9200CW..
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE204G...
JennAir,Standard size dishwasher,JDB9000CW**-08,JDB9000CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9000CW..
JennAir,Standard size dishwasher,JDB9000CW**-08,JDB9200CW**,270.0,3.3,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9200CW..
Jenn-Air,Standard size dishwasher,JDB9800CW**,JDB9800CW**,270.0,3.4,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDB9800CW..
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE234G...
KitchenAid,Standard size dishwasher,KDTE304G***-04,KDTE304G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE304G...
JennAir,Standard size dishwasher,JDPSS244L**,JDPSS244L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDPSS244L..
KitchenAid,Standard size dishwasher,KDTE304G***-05,KDTE204G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE204G...
JennAir,Standard size dishwasher,JDPSS246L**,JDPSS246L**,270.0,3.5,12.0,No,No,https://www.jennair.com/content/jennair/en_us/dishwashers-and-compactors.html,JDPSS246L..
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDTE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDTE234G...
KitchenAid,Standard size dishwasher,KDTE304G***-06,KDPE234G***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/service-and-support/manuals.html,KDPE234G...
Maytag,Standard size dishwasher,MDB8989SH**-01,MDB8989SH**,270.0,3.5,12.0,No,No,https://www.maytag.com/owners.html,MDB8989SH..
