Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Cooling_Capacity__BTU_Hour__d,Electrical_Power_Input__Watts__d,Combined_Energy_Efficiency_Ratio_d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s,individual_model_number_modified
Perfect aire,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",5PAC6000,5PAC6000,6000.0,490.0,12.1,No,No,https://perfectaire.us/resource_category/specs/,5PAC6000
Perfect aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",4PATW10000,4PATW10000,10000.0,940.0,10.6,No,No,https://perfectaire.us/resource_category/specs/,4PATW10000
Perfect aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",4PATW12002,4PATW12002,12000.0,1140.0,10.5,No,No,https://perfectaire.us/resource_category/specs/,4PATW12002
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PAWFC8000,1PAWFC8000,8000.0,680.0,11.4,No,No,https://perfectaire.us/resource_category/specs/,1PAWFC8000
Perfect Aire,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",1PACU8000,1PACU8000,8000.0,690.0,15.0,No,No,https://perfectaire.us/resource_category/specs/,1PACU8000
BLACK+DECKER,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",BD08WT6,BD08WT6,8000.0,650.0,12.0,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936753341-ATNP0QDMSO1BMPEM9O2W/BD08WT6.jpg?format=750w&content-type=image%2Fjpeg,BD08WT6
BLACK+DECKER,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",BD12WT6,BD12WT6,12000.0,990.0,12.0,No,No,By annual report date,BD12WT6
Commercial cool,"(2) Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",CC06WT,CC06WT,6000.0,490.0,12.1,No,No,https://images.squarespace-cdn.com/content/59ce77904c326de45b423ff2/1611936941174-RZ59G2D9QAJKYB8PSQHW/CC06WT.jpg?format=750w&content-type=image%2Fjpeg,CC06WT
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW10CE,KSTAW10CE,10000.0,810.0,12.0,No,No,https://access.almo.com/Product/KEYSTN/KSTAW10CE,KSTAW10CE
Keystone,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",KSTAW15CE,KSTAW15CE,15100.0,1280.0,11.8,No,No,https://access.almo.com/Product/KEYSTN/KSTAW15CE,KSTAW15CE
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",FHCW081ABE,FHCW081ABE,8000.0,650.0,12.0,No,No,https://access.almo.com/Product/FREO/FHCW081ABE,FHCW081ABE
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1C,KSTAT08-1C,8000.0,750.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT08-1C,KSTAT08-1C
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-2C,KSTAT10-2C,10000.0,940.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-2C,KSTAT10-2C
Keystone,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",KSTAT12-2C,KSTAT12-2C,12000.0,1140.0,10.5,No,No,https://access.almo.com/Product/KEYSTN/KSTAT12-2C,KSTAT12-2C
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT08-1D,KSTAT08-1D,8300.0,760.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT08-1D,KSTAT08-1D
Keystone,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",KSTAT10-2D,KSTAT10-2D,10500.0,950.0,10.6,No,No,https://access.almo.com/Product/KEYSTN/KSTAT10-1D,KSTAT10-2D
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW08UA,KSTAW08UA,8000.0,690.0,15.0,No,No,By annual report date,KSTAW08UA
Keystone,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",KSTAW10INV,KSTAW10INV,10000.0,870.0,15.0,No,No,http://img.almo.com/_assets/keystone/500/kstaw10inv-energy.jpg,KSTAW10INV
Keystone,"(11) With reverse cycle, with louvered sides, and less than 20,000 Btu/h",KSTAW08INV-HC,KSTAW08INV-HC,8000.0,700.0,14.5,No,No,http://img.almo.com/_assets/keystone/500/kstaw08invhc-energy.jpg,KSTAW08INV-HC
GREE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GAC12AA-A6NRNB2D,N,12000.0,1230.0,9.7,No,No,https://global.gree.com/channels/123.html,N
GREE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GAC12AA-D6NRNB2D,N,12000.0,1230.0,9.7,No,No,https://global.gree.com/channels/123.html,N
GREE,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",GAE12AA-D6NRNB2D,N,12600.0,1290.0,9.7,No,No,https://global.gree.com/channels/123.html,N
GREE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GAC09AA-D6NRNB2D,N,9400.0,940.0,9.9,No,No,https://global.gree.com/channels/123.html,N
GREE,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",GAC09AA-A6NRNB2D,N,9400.0,960.0,9.7,No,No,https://global.gree.com/channels/123.html,N
GREE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",GAA12AA-D6NRNB2D,N,12000.0,1260.0,9.4,No,No,https://global.gree.com/channels/123.html,N
GREE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",GAA09AA-D6NRNB2D,N,9300.0,950.0,9.7,No,No,https://global.gree.com/channels/123.html,N
Seasons,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ST10RA2,ST10RA2,10500.0,950.0,10.6,No,No,By annual report date,ST10RA2
Seasons,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ST08RA1,ST08RA1,8300.0,760.0,10.6,No,No,By annual report date,ST08RA1
Seasons,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",ST08R1,ST08R1,8300.0,760.0,10.6,No,No,https://hdsupplysolutions.com/,ST08R1
Seasons,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",SW10R1,SW10R1,10000.0,810.0,12.0,No,No,https://hdsupplysolutions.com/,SW10R1
Seasons,"(5a) Without reverse cycle, with louvered sides, and 20,000 to 27,999 Btu/h",SW25R2,SW25R2,25000.0,2410.0,10.3,No,No,https://hdsupplysolutions.com/,SW25R2
Garrison,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",311410573,311410573,12000.0,1000.0,12.0,No,No,https://www.supplyworks.com,311410573
Garrison,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",311410577,311410577,15100.0,1280.0,11.8,No,No,https://www.supplyworks.com,311410577
Comfort Aire,"(8b) Without reverse cycle, without louvered sides, and 11,000 to 13,999 Btu/h",BG-123R01,BG-123R01,12000.0,1120.0,10.5,No,No,By annual report date,BG-123R01
Comfort Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",BG-101R01,BG-101R01,10000.0,920.0,10.6,No,No,By annual report date,BG-101R01
Danby,"(4) Without reverse cycle, with louvered sides, and 14,000 to 19,999 Btu/h",DAC145EB6WDB-6,DAC145EB6WDB-6,14500.0,1270.0,11.3,No,No,https://www.danby.com/en-us/product-resources/,DAC145EB6WDB-6
Danby,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",DAC120EB9WDB-6,DAC120EB9WDB-6,12000.0,990.0,12.0,No,No,https://www.danby.com/en-us/product-resources/,DAC120EB9WDB-6
Danby,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",DAC120B6WDB-6,DAC120B6WDB-6,12000.0,990.0,12.0,No,No,https://www.danby.com/en-us/product-resources/,DAC120B6WDB-6
Danby,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",DAC100EB9WDB,DAC100EB9WDB,10000.0,810.0,12.0,No,No,https://www.danby.com/en-us/product-resources/,DAC100EB9WDB
Danby,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",DAC080EE2*,DAC080EE2WDB,8000.0,640.0,12.0,No,No,https://www.danby.com/en-us/product-resources/,DAC080EE2WDB
Danby,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",MWAUQB-08CRFN8-BCN10,DAC080B7IWDB-6,8000.0,690.0,15.0,No,No,https://www.danby.com/en-us/product-resources/,DAC080B7IWDB-6
Perfect Aire,"(8a) Without reverse cycle, without louvered sides, and 8,000 to 10,999 Btu/h",5PATW10002,5PATW10002,10500.0,950.0,10.6,No,No,https://perfectaire.us/collections/window-air-conditioners,5PATW10002
hOmeLabs,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",HME030545N,HME030545N,12000.0,990.0,12.0,No,No,By annual report date,HME030545N
hOmeLabs,"(3) Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",HME030526N,HME030526N,10000.0,830.0,12.0,No,No,By annual report date,HME030526N
GREE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",GAA09AA-A6NRNB4D,N,9400.0,920.0,10.1,No,No,https://global.gree.com/channels/123.html,N
GREE,"(12) With reverse cycle, without louvered sides, and less than 14,000 Btu/h",GAA09AA-D6NRNB4D,N,9300.0,950.0,9.7,No,No,https://global.gree.com/channels/123.html,N
