Brand_Name_s__s,Product_Group_Code_Description_s,Basic_Model_Number_m,Individual_Model_Number_Covered_by_Basic_Model_m,Annual_Energy_Use__Kilowatt_Hours_Year__d,Water_Consumption__Gallons_Cycle__d,Capacity__Number_of_Place_Settings__d,Is_the_Certification_for_this_Basic_Model_Based_on_a_Waiver_of_DOE_s_Test_Procedure_Requirements__s,Is_the_Certification_based_upon_any_Exception_Relief_from_an_Applicable_Standard_by_DOE_s_Office_of_Hearing_and_Appeals__s,Link_to_FTC_EnergyGuide_Label_s
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDPM704K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
KitchenAid,Standard size dishwasher,KDTM804K***-02,KDTM804K***,270.0,3.5,12.0,No,No,https://www.kitchenaid.com/major-appliances/dishwashers.html
Whirlpool,Standard size dishwasher,WDF520PAD**-16,WDF520PAD**,260.0,3.3,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF560SAF**-03,WDF770SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-04,WDF560SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-04,WDF770SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-05,WDF770SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-05,WDF590SAJ**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF560SAF**-06,WDF560SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF560SAF**-06,WDF770SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF560SAF**-06,WDF590SAJ**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF560SAF**-07,WDF560SAF**,270.0,3.5,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
Whirlpool,Standard size dishwasher,WDF760SAD**-03,WDF760SAD**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF760SAD**-03,WDT780SAE**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDF760SAD**-03,WDT920SAD**,270.0,3.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP340PAF**-01,WDP370PAH**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/services/manuals.html
Whirlpool,Standard size dishwasher,WDP340PAF**-02,WDP340PAF**,307.0,5.0,12.0,No,No,https://www.whirlpool.com/kitchen/dishwasher-and-cleaning.html
