ENERGY STAR Unique ID,Brand Name,Model Number,Additional Model Information,UPC,Height (inches),Width (inches),Depth (inches),Weight (lbs),Cooling Capacity (Btu/hr),Voltage (volts),Type,Installation Mounting Type,Support Bracket,Heating Mode,Casement Window,Product Class,Variable Speed Compressor,Low Noise,Refrigerant Type,Refrigerant with GWP,Combined Energy Efficiency Ratio (CEER),Percent Less Energy Use than US Federal Standard,Annual Energy Use (kWh/yr),Connected Capable,Connects Using,Communication Hardware Architecture,DR Protocol,Primary Communication Module/Device Brand Name and Model Number,Network Security Standards,Network Standby Power (watts),Is Broadband Internet Connection Needed for Demand Response?,Direct on-premises Open-standard Based Interconnection,Date Available On Market,Date Certified,Markets,CB Model Identifier,Meets ENERGY STAR Most Efficient 2023 Criteria
2389270,Norpole,NPRAC6KEWMZ2,,665679017638,,,,,6100,,Window,,,No,None,"2. Without reverse cycle, with louvered sides, and 6,000 to 7,999 Btu/h",,No,,,12.1,10,378,No,,,,,,,,,12/06/2021,12/14/2021,"United States, Canada",ES_1026218_NPRAC6KEWMZ2_121420210142824_5677753,No
2308366,Norpole,NPRAC8KEWMZ,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,500,No,,,,,,,,,12/15/2017,12/25/2017,"United States, Canada",ES_1107227_NPRAC8KEWMZ_12262017071722_2642745,No
2330431,Norpole,NPRAC8KEWMZ1,,,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,11/21/2018,09/30/2018,"United States, Canada",ES_1139258_NPRAC8KEWMZ1_11212018051020_70206237,No
2370302,Ocean Breeze,OBZ-05ESN3,,898764001940,,,,,5000,,Window,,,No,None,"1. Without reverse cycle, with louvered sides, and less than 6,000 Btu/h",No,No,,,12.1,10,310,No,,,,,,,,,11/17/2020,11/17/2020,"United States, Canada",ES_1125950_OBZ-05ESN3_11292020090601_80062599,No
2370301,Ocean Breeze,OBZ-08ESN3,,898764001940,,,,,8000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,500,No,,,,,,,,,11/17/2020,11/17/2020,"United States, Canada",ES_1125950_OBZ-08ESN3_11292020090601_80062599,No
2285160,Ocean Breeze,OBZ-10ESN,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,625,No,,,,,,,,,11/14/2016,11/14/2016,"United States, Canada",ES_1125950_OBZ-10ESN_12022016022222_5342844,No
2349966,Ocean Breeze,OBZ-10ESN3,,,,,,,10000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,625,No,,,,,,,,,11/15/2019,11/07/2019,United States,ES_1125950_OBZ-10ESN3_11192019052521_80023995,No
2285897,Ocean Breeze,OBZ-12ESN,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",,No,,,12,10,750,No,,,,,,,,,11/14/2016,11/14/2016,"United States, Canada",ES_1125950_OBZ-12ESN_12122016062453_3893204,No
2349968,Ocean Breeze,OBZ-12ESN3,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,11/15/2019,11/07/2019,United States,ES_1125950_OBZ-12ESN3_11192019052521_80023995,No
2349967,Ocean Breeze,OBZ-12WESN,,,,,,,12000,,Window,,,No,None,"3. Without reverse cycle, with louvered sides, and 8,000 to 13,999 Btu/h",No,No,,,12,10,750,No,,,,,,,,,11/15/2019,11/07/2019,United States,ES_1125950_OBZ-12WESN_11192019052521_80023995,No
